aal,     eel; moray,
aalglatt,    slippery,
aas,     carrion,
aasfresser,     scavenger,
ab,    ex,
abarbeiten,     attention handling,
abarbeitend,    working out,
abarbeitungszeit,     processing time,
abarten,     varieties,
abartig,    abnormal,
abartigkeit,     kinkiness,
abbau,     dismantling,
abbau  einer warteschlange,     dequeuing,
abbauen,    to abolish; to dismantle,
abbauend,    retrenching,
abbeißen,    to bite off,
abbeißend,    biting off,
abbekommend,    getting off,
abbekommene,    got off,
abberufbar,    recallable,
abberufen,    to recall,
abberufend,    recalling,
abberufene,    recalled,
abberufungen,     recalls,
abbestellen,    countermand,
abbestellend,    countermanding,
abbestellt,    countermanded,
abbestellungen,     countermands,
abbetteln,    to wheedle; wheedle out,
abbettelnd,    wheedling; wheedling out,
abbezahlen,    to pay off,
abbiegen,    to bend off; to turn off,
abbiegend,    bending off; deflective,
abbild,     copy; image,
abbilden,    image; map,
abbildend,    picturing,
abbildung,     illustration; image; map; mapping; picture,
abbildung  f math,       map; mapping; transformation,
abbildungsfehler,     aberration,
abbindend,    undoing,
abblasend,    cancelling,
abblenden,    dim out; dimmed; screen off,
abblendend,    screening off,
abblenden scheinwerfer,    to dip,
abblendlicht,     dim light; dimmed headlight; low beam light,
abblendschalter,     dip switch,
abblitzen,    to meet with a rebuff; to rebuff,
abblitzend,    meeting with a rebuff; rebuffing,
abblättern,    to peel off,
abblätternd,    flaking; peeling off,
abbrausen,    to buzz off,
abbrausend,    buzzing off,
abbrechen,    to abandon; to abort; to break; to break away; to break off; to cancel; to cut short; to discontinue; to dismantle; to sever; to tear down; to truncate,
abbrechend,    aborting; breaking off; dismantling,
abbrechen  ohne änderungen,     abort without change,
abbrechung,     abruption,
abbremsen,    to slow down,
abbremsend,    slowing; slowing down,
abbremsung,     retardation,
abbrennen,    to burn down,
abbrennend,    burning down,
abbringen,    to dissuade; to wring,
abbringend,    dissuading; wringing,
abbruch,     demolition; dropout; severance; truncation,
abbruchcode,     abort code,
abbruchmakro,     abort macro,
abbruch programm,     truncation,
abbruch  sport,     break-off; stop; stopping,
abbröckelnd,    crumbling,
abbuchen,    to write off,
abbuchend,    writig off,
abbuchende,    writing off,
abbuchungsverfahren,     direct debiting,
abbürsten,    to brush off,
abbürstend,    brushing off,
abdampf,     exhaust steam,
abdampfen,    to evaporate,
abdampfen person,    to clear off,
abdampfen zug,    to steam off,
abdanken,    to abdicate; to resign,
abdankend,    resigning,
abdanken könig,    to abdicate,
abdanker,     abdicator,
abdankung,     abdication,
abdankungen,     resignations,
abdecken,    to mask; to uncover,
abdeckend,    uncovering,
abdecken dach,    to untile,
abdecken haus,    to unroof,
abdeckung,     access cover; cover,
abdichten,    to caulk; to seal up,
abdichtend,    caulking; sealing up,
abdichter,     caulker; caulkers,
abdichtung,     sealing,
abdichtungen,     sealings,
abdrehen,    to switch off; to turn off,
abdrehend,    turning off,
abdrosseln,    throttle,
abdrosselnd,    throttling,
abdruck,     imprint,
abdrücke,     imprints,
abdrückend,    squeezing off,
abdunkelungsvorrichtung,     dimmer,
abdunklung,     dimout,
abdämmen,    to dam up,
abelsche gruppe  math,       Abelian group,
abend,    evening  Abend       evening,
abendandacht,     evensong,
abendbrot essen,    to have tea,
abenddämmerung,     dusk; twilight,
abenddämmerungen,     dusks,
abende,     evenings,
abendessen,     dinner; supper; suppers,
abendgarderobe,     evening dress,
abendgesellschaften,     soirees,
abendglocke,     curfew,
abendglocken,     curfews,
abendkleid,     evening dress; gown,
abendkleider,     evening dresses,
abendkurs,     evening class,
abendkurse,     evening classes,
abendland,     occident,
abendländisch,    occidental,
abendländische,    occidentally,
abendmahl  kirchlich,         sunset,
abendröte,     afterglows,
abendschule,     evening classes; night school,
abendsonne,     setting sun,
abendstern,     evening star,
abendvorstellung,     evening performance,
abendzeitung,     evening paper,
abenteuer,     adventure; adventures,
abenteuergeschichte,     adventure story,
abenteuerleben,     adventurous life,
abenteuerlich,    adventuresomely; adventurous; adventurously,
abenteuerliche,    adventurously,
abenteuerlichkeit,     adventurousness,
abenteuerlust,     spirit of adventure,
abenteuerlustig,    adventuresomely,
abenteurer,     adventurer,
abenteurerin,     adventuress,
aber,    but; but for all that; however,
aber dennoch ehrlich,    he's an honest man.; Though he's poor,
aberglaube,     superstition; superstitiousness,
abergläubisch,    superstitious,
abergläubische,    superstitiously,
aber ja,    why; yes,
aberkannt,    denied,
aberkennend,    denying,
aberkennung,     denial,
abermalig,    repeated,
abermals,    again,
aber nein,    no; why,
aberntend,    harvesting,
aber selbstverständlich,    why certainly!,
abfahren,    to depart; to leave,
abfahrend,    departing,
abfahren nach,    to sail     departure,
abfahrten,     departures,
abfahrtszeit,     time of departure,
abfall,     apostasy; declension; drop; garbage  ; offal; offall; rubbish; trash; waste,
abfallbehälter,     dust bin,
abfalleimer,     dust bin; dustbin; dustbins; garbage can  ; trash can  ,
abfallen,    to apostatize; to dip; to fall off; to secede,
abfallend,    apostatizing; deciduous; falling off; seceding,
abfallende,    deciduously,
abfallendes oberrohr,    sloping top tube,
abfallentsorgung,     garbage collection; waste disposal,
abfallkasten  am lochstreifenstanzer,     chadbox,
abfallpapier,     wastepaper,
abfallprodukt,     by-product; waste product,
abfallprodukte,     waste products,
abfallzeit,     connection timeout; fall time,
abfangend,    intercepting,
abfassen,    to compose; to indite,
abfassend,    composing; inditing,
abfassung,     composition,
abfaulen,    to rot off,
abfaulend,    rotting off,
abfeilen,    to file off,
abfeilend,    filing off,
abfertigen,    to dispatch,
abfertigend,    dispatching,
abfertigungen,     dispatches,
abfertigungsstelle,     dispatch office,
abfeuern,    to fire off; to let off,
abfeuernd,    firing off,
abfindung,     compensation; forisfamiliation; gratuity,
abfindungen,     gratuities,
abfindungsvertrag,     termination agreement,
abflachen,    to flatten,
abflachend,    levelling,
abflachung,     flat portion; flattening,
abflachungen,     flattenings,
abflauen,    to wane; wanes,
abflauend,    waning,
abfliegend,    taking off,
abfließen,    to drain off; to flow off  Abfließen       drain,
abfließend,    draining off,
abfließen lassen,    to drain,
abfluß,     discharge; flowing off,
abflußrohr,     drainpipe; spout,
abflußstelle,     outlet,
abfluß  von kapital,     outflow,
abflüge,     takeoffs,
abfordernd,    demanding,
abforsten,    deforest,
abforstend,    deforesting,
abforstung,     deforestation,
abforstungen,     deforestations,
abfrage,     inquiry; interrogation; recitation; request,
abfrageeinrichtung,     interrogator,
abfragekriterium,     qualifier,
abfragen,    sample; scan; to inquire; to interrogate; to query; to request,
abfragend,    quizzes,
abfragenden,    quizzing,
abfragestation,     query station; retrieval terminal,
abfuhr,     carriage; removal,
abfällig,    snide,
abfällige,    snidely,
abfällige bemerkung,    aspersion,
abfälliger,    snider,
abfälligere,    more unfavourable,
abfälligkeit,     snideness,
abfälligste,    most unfavourable; snidest,
abfärbend,    fading,
abfühlen,    to sense,
abfühlstift,     pecker,
abführen,    to discharge; to lead away; to purge,
abführend,    evacuative; laxativ; laxative; laxatively; purgative,
abführende,    purging,
abführmittel,     laxative; physic,
abfüllen,    to fill,
abfüllend,    filling,
abfüllerfirma,     bottler,
abfüllerfirmen,     bottlers,
abfütternd,    feeding,
abgabe,     duty; tax; tribute,
abgaben,     taxes; tributes,
abgang,     daparture; exit; leaving,
abgang  bankbilanz,     items disposed of,
abgangsflughafen,     airport of depature,
abgangskontrolle,     physical exit control; removal control,
abgangszeugnis,     diploma  ; leaving certificate,
abgang  warenversand,     dispatch,
abgas,     flue gas; waste gas,
abgaskühler,     exhaust gas cooler,
abgasverlust,     exhaust gas losses,
abgearbeitet,    processed; worn out,
abgebaut,    dismantled,
abgeben,    to deliver; to dispense,
abgebend,    delivering,
abgebettelt,    wheedled out,
abgebildet,    mapped,
abgebissen,    bitten off,
abgeblasen,    cancelled,
abgeblendet,    screened off,
abgeblitzt,    met with a rebuff,
abgeblättert,    peeled off,
abgebogen,    bent off,
abgebracht,    dissuaded,
abgebrannt,    burnt down,
abgebraust,    buzzed off,
abgebremst,    slowed down,
abgebrochen,    aborted; abrupt; broken off; dismantled,
abgebröckelt,    crumbled,
abgebrüht,    hard boiled,
abgebucht,    written off,
abgebunden,    undone,
abgebürstet,    brushed off,
abgedankt,    resigned,
abgedeckt,    uncovered,
abgedichtet,    sealed up,
abgedient,    served,
abgedreht,    turned off,
abgedroschen,    hackneyed; trite; tritely,
abgedrosselt,    throttled,
abgedruckt,    imprinted,
abgedrückt,    squeezed off,
abgeerntet,    harvested,
abgefallen,    fallen off,
abgefangen,    intercepted,
abgefasst,    indited,
abgefault,    rotted off,
abgefeilt,    filed off,
abgefertigt,    dispatched,
abgefeuert,    fired off,
abgeflachte,    levelled,
abgeflaut,    waned,
abgeflogen,    taken off,
abgeflossen,    drained off,
abgeflossene,    drained,
abgefordert,    demanded,
abgefragt,    prompted,
abgefunden,    compensated,
abgefärbt,    faded,
abgeführt,    led away,
abgefüllt,    filled,
abgefütterte,    fed,
abgegeben,    delivered,
abgeglitten,    slid,
abgegossen,    decanted; poured off,
abgegraben,    dug off,
abgegrast,    grazed,
abgegrenzt,    marked-off; zoned,
abgehackt,    chopped; choppily; choppy; staccato,
abgehackter,    choppier,
abgehackteste,    choppiest,
abgehalten,    detained; kept from,
abgehaltener,    kept form,
abgehalten werden,    to be held; to take place,
abgehangen fleisch,    hung,
abgeheilt,    healed,
abgehend tel,    out-bound,
abgehetzt,    exhausted,
abgehoben,    lifted,
abgehobenzurückgezogen,    withdrawn,
abgeholt,    fetched,
abgehängt,    taken down,
abgehärmt,    haggard,
abgehärtet,    hardened,
abgehört,    listened in to,
abgeirrt,    strayed,
abgejagt,    recovered a from,
abgekauft,    bought from,
abgekehrt,    turned away,
abgeklemmt,    pinched off,
abgeklopft,    knocked off,
abgeklopfter,    kocked off,
abgeklungen,    faded away,
abgeklärt,    clarified,
abgeknabbert,    nibbled off,
abgeknallt,    bumped off,
abgeknickt,    snapped off,
abgekocht,    boiled,
abgekoppelt,    uncoupled,
abgekratzt,    scraped off,
abgekriegt,    got,
abgekühlt,    cooled off,
abgekürzt,    shortened,
abgekürzte,    abbreviated,
abgekürzte adressierung,    abbreviated addressing,
abgekürztes,    abbreviated,
abgekürztes tastaturkommando,    abbreviated keyboard command,
abgeküsst,    smothered with kisses,
abgeladen,    unloaded,
abgelagert,    deposited,
abgelassen,    let off,
abgelaufen,    expired,
abgeleckt,    licked off,
abgelegen,    remote,
abgelegt,    discarded,
abgelehnt,    declined; deprecated; disliked; disowned; spurned,
abgeleistet,    fulfilled,
abgeleitet,    deduced; derivated; derivational; derivative; derivatively; derived,
abgelenkt,    deflected; distracted; diverted,
abgeleugnet,    abnegated,
abgelten ansprüche,    to satisfy,
abgelöscht,    extinguished,
abgelöst,    detached; redeemed; unsoldered,
abgemacht,    done  Abgemacht!      It's a bargain!; It's a deal!,
abgemachte,    settled,
abgemagert,    emaciated,
abgemildert,    moderated,
abgemustert,    paid off,
abgemüht,    struggled with,
abgenagt,    gnawed off,
abgeneigt,    antipathetic; averse; disinclined; indisposed; loath,
abgeneigte,    antipathetical; aversely,
abgeneigtes,    antipathetically,
abgeneigtheit,     averseness,
abgeneigt machen,    disincline,
abgeneigt machend,    disinclining,
abgenommen,    waned,
abgenutzt,    battered; outworn,
abgenötigt,    wrung from,
abgeordnet,    delegated,
abgeordnete,     delegate; deputy; representative,
abgepalgt,    worked oneself to death,
abgepasst,    adjusted,
abgepflückt,    picked,
abgeplattet,    prolate,
abgeplattete,    oblately,
abgeprallt,    rebounded; recoiled,
abgequetscht,    squeezed,
abgequält,    worried,
abgerackert,    drudged; fagged,
abgeraten,    dissuaded; dissuaded from,
abgerechnet,    deducted,
abgereist,    departed,
abgerichtet,    trained,
abgerieben,    rubbed off; towelled,
abgeriegelt,    bolted,
abgerissen,    torn off,
abgerollt,    unrolled,
abgerundet,    rounded,
abgerutscht,    slipped off,
abgeräumt,    cleared,
abgerückt,    moved away,
abgerüstet,    disarmed,
abgesackt,    sunk,
abgesahnt,    skimmed,
abgesandt,    mailed,
abgesandte,    delegate  Abgesandte       delegate,
abgesaugt,    sucked off,
abgeschafft,    abolished,
abgeschaltet,    shorted; switched off,
abgeschieden,    cloistered; isolated,
abgeschiedenheit,     seclusion,
abgeschirmt,    sceened; screened; shield; shielded,
abgeschlachtet,    slaughtered,
abgeschleppt,    towed off,
abgeschliffen,    polished,
abgeschlossen,    completed,
abgeschlossenheit,     insularity; seclusion,
abgeschlossenheiten,     seclusiveness,
abgeschlossen math,      closed,
abgeschlossen wohnung,    self-contained,
abgeschmackt,    vulgar,
abgeschmiert,    greased,
abgeschminkt,    removed the make up,
abgeschmolzen,    melted off,
abgeschnallt,    unstrapped,
abgeschnitten,    cropped; cut,
abgeschnitzelt,    chipped,
abgeschnürt,    strangulated,
abgeschoben,    deported; pushed off,
abgeschossen,    downed; killed; launched,
abgeschraubt,    screwed off,
abgeschreckt,    deterred,
abgeschreckteste,    most deterred,
abgeschrieben,    copied,
abgeschritten,    paced off,
abgeschrägt,    canted; chamfered; sloped,
abgeschuftet,    slaved,
abgeschweift,    digressed,
abgeschwenkt,    deviated,
abgeschworen,    abjured; forsworn,
abgeschwächt,    extenuated; understated; weakened,
abgeschwächtes,    weakenen,
abgeschätzt,    estimated,
abgeschöpft,    skimmed,
abgeschürft,    grazed,
abgeschüttelt,    shaken off,
abgesegelt,    sailed,
abgesegelter,    sailed away,
abgesehen,    apart from,
abgesehen von,    apart   abgesehen von      irrespective,
abgeseift,    soaped,
abgeseilt,    roped; roped down,
abgesessen,    dismounted,
abgesetzt,    degraded; degradet; discharged,
abgesichert,    fused; provided security for,
abgesondert,    apart; apart     more separated,
abgesondertste,    most separated,
abgespalten,    split off,
abgespanntere,    more exhausted,
abgespannteste,    most exhausted,
abgesperrt,    locked,
abgespiegelt,    reflected,
abgespiesen,    put off,
abgesplittert,    splintered,
abgesprochen,    agreed; arranged,
abgespült,    washed up,
abgestammt,    descended,
abgestanden,    stale,
abgestattet,    made a call on,
abgestaubt,    dusted,
abgestellt,    put down,
abgestempelt,    postmarked; stamped,
abgesteppt,    stitched,
abgestimmt,    attuned; coordinated; syntonic; tuned; voted,
abgestochen,    contrasted with,
abgestorben,    dead,
abgestoßen,    disgusted,
abgestrichen,    wiped off,
abgestuft,    graded; graduated,
abgestumpft,    deadened; indifferent,
abgestumpftere,    more indifferent,
abgestumpfteste,    most indifferent,
abgestürzt,    crashed; fallen; precipitated,
abgestützt,    supported,
abgesucht,    searched,
abgesumpft,    blunted,
abgesägt,    sawed off,
abgetastet,    felt,
abgetastete,    sampled,
abgeteilt,    divided,
abgetippt,    typewritten,
abgetragen,    shabby; worn out,
abgetretene forderungen,    assigned book account,
abgetrieben,    procured abortion,
abgetrocknet,    dried,
abgetropft,    dripped off,
abgetupft,    dabed,
abgetupfte,    dabbed,
abgeurteilt,    condemned,
abgewandelt,    modified,
abgewandert,    migrated,
abgewandt,    averted,
abgewartet,    bided; waited for,
abgewechselt,    alternated,
abgewehrt,    fended; parried,
abgewertet,    devaluated; devalued,
abgewichen,    deviated,
abgewickelt,    liquidated; transacted; unwinded,
abgewiesen,    refused; repulsed,
abgewinnen,    take pleasure in,
abgewirtschaftet,    ruined,
abgewischt,    wiped,
abgewogen,    weighed,
abgewonnen,    taken pleasure in,
abgeworfen,    dropped,
abgewählte,    deselected,
abgewälzt,    shifted,
abgewöhnen,    to give up,
abgewöhnend,    giving up,
abgewöhnt,    given up,
abgewürgt,    stalled,
abgezapft,    drawn off,
abgezehrt,    haggard,
abgezielt,    aimed at; tended,
abgezogen,    deducted; removed,
abgezweigt,    branched off; crotched,
abgezählt,    counted,
abgezäunt,    fenced off,
abgießen,    to decant; to pour off,
abgießend,    decanting; pouring off,
abgleichen,    to align; to equalize; to gang; to square,
abgleiten,    slid ; to slide ;slid,
abgleitend,    sliding,
abgott,     idol,
abgraben,    to dig off,
abgrabend,    digging off,
abgrasen,    to graze,
abgrasend,    grazing,
abgreagieren,    to abreact,
abgreifen,    to tap,
abgreifend,    thumbing,
abgrenzen,    to delimit; to mark down; to mark out; to mark-off,
abgrenzend,    delimiting; marking-off,
abgrenzer,     delimiter,
abgrenzung,     delimitation; demarcation,
abgrenzungen,     delimitations; demarcations,
abgrund,     abysm; abyss; fovea; precipice,
abgrundtief,    abysmal,
abgrundtiefe,    abysmally,
abgründe,     abysms; abysses; foveae; precipices,
abguss,     casting,
abgötter,     idols,
abgötterei,     idolatrousness; idolization,
abgöttisch,    idolatrous,
abgöttische,    idolatrously,
abgüsse,     castings,
abhacken,    to chop; to chopp,
abhackend,    chopping,
abhaken,    to check off; to tick off,
abhalten,    to detain; to deter; to keep away; to keep off; to ward,
abhaltend,    detainig; detaining; keeping from,
abhalten lehrstunde,    to give,
abhalten treffen,    to hold,
abhalten von,    to keep from; to prevent from,
abhaltung,     disincentive,
abhanden kommen,    to get lost,
abhandlung,     disquisition; essay; treatise,
abhandlungen,     treatises,
abhang,     declivity; slope,
abhauen,    to scoot; to scram,
abhauend,    bunking; scooting; scramming,
abhebend,    lifting,
abhebung,     withdrawal,
abheilen,    to heal,
abheilend,    healing,
abhelfen,    to remedy,
abhelfend,    remedial; remedying,
abhelfende,    remedially,
abhetzen,    to rush about,
abhilfe,     remedy,
abhilfen,     correctives,
abholen,    to call for; to collect,
abholend,    fetching,
abholung  in der wohnung,     collection     declivities; slopes,
abhängend,    depending; hinging; taking down,
abhängendes,    taking sown,
abhängen von,    to depend     depend; dependent; tributary,
abhängige,    dependent; dependet  Abhängige       dependent; dependents,
abhängige von,    dependently,
abhängigkeit,     subjection,
abhängigkeiten,     dependences,
abhängigkeit  linguistik,     subordination,
abhängigkeit  von,     addiction     to piggyback     depending on; to hinge on,
abhängig von,    dependent; dependent on; depending,
abhärten,    to harden,
abhärtung,     inurement,
abhören,    to intercept; to listen in to  Abhören       wiretapping,
abhörend,    listening in to,
abhörgerät,     bugging device; monitor,
abirren,    to stray,
abirrend,    straying,
abirrung,     aberrance,
abisolieren,     skinning,
abisolierzange,     stripper,
abitur,     school leaving examination,
abiturprüfung,     school leaving examination,
abiturzeugnis,     "Abitur" certificate; GCE A-levels  ; graduation diploma  ,
abjagen,    to recover from,
abjagend,    recovering from,
ab jetzt,    hence; henceforth,
abkaufen,    to buy from,
abkaufend,    buying from,
abkehr,     turning away,
abkehren,    to turn away,
abklemmen,    to pinch off,
abklemmend,    pinching off,
abklingen,    to fade away,
abklingend,    fading away,
abklingen fieber,    to go down,
abklingen lärm,    to abate,
abklingen schmerz,    to ease,
abklingen sturm,    to die down; to subside,
abklingen wirkung,    to wear off,
abklopfen arzt,    to percuss; to tap,
abklopfen dirigent,    to stop the orchestra,
abklopfen putz,    to knock off,
abklopfen staub,    to brush off,
abklären,    to clarify,
abklärend,    clarifying,
abklärung,     clarification,
abknabbern,    to nibble off,
abknabbernd,    nibbling off,
abknallen,    to bump off,
abknallend,    bumping off; zapping,
abknicken,    to deviate; to snap off,
abknickend,    snapping off,
abkommandierend,    assigning,
abkomme,     descendant,
abkommen,    to deviate  Abkommen       agreement; deal; descendants,
abkoppelnd,    uncoupling,
abkrabbeln,    to unscramble,
abkrabbelnd,    unscrambling,
abkratzen,    to scrape off,
abkratzend,    scraping off,
abkriegend,    getting,
abkömmling,     derivative; descendant,
abkühlen,    to cool off,
abkühlend,    cooling off,
abkühlung,     cooling,
abkürzen,    to abbreviate; to cut short; to shorten,
abkürzend,    abbreviatory,
abkürzer,     abbreviator,
abkürzung,     abbreviation; shortcut,
abkürzungen,     abbreviations; shortcuts,
abkürzungi,     acronym,
abkürzungszeichen,     abbreviation,
abküssen,    to smother with kisses,
abküssend,    smothering with kisses,
abladen,    to unload,
abladeplatz,     unloading point,
abladeplätze,     unloading points,
ablader,     unloader; unloaders,
ablage,     clipboard; deposit; deposition; filing; pocket; stacking; tray,
ablagefach,     pocket,
ablagekasten,     tray,
ablagemagazin,     stacker,
ablagen,     depositions,
ablagern,    to deposit,
ablagernd,    depositing,
ablagerung,     debris; deposit; sediment,
ablagerungen,     sediments,
ablagesystem,     filing system,
ablagetische,     deposit tables,
ablass,     indulgence,
ablassen,    to desist; to drain; to surcease,
ablassend,    desisting; letting off; surceasing,
ablauf,     drain; flowing off; order of events; procedure; sequence,
ablaufanweisung,     run chart,
ablaufdiagramm,     flow chart; flowchart,
ablaufen,    pass; rundown; to execute,
ablaufend,    expiring,
ablaufen zeit,    to elapse,
ablauffähig,    loadable,
